,critic,fresh,imdb,publication,quote,review_date,rtid,title,date,year,test
11250,Rita Kempley,False,103776,Washington Post,"Like a hyperactive 11-year-old, the director seems both uncomfortable with adult emotions and unable to focus on the overall portrait.",2000-01-01,10598,Batman Returns,2000-01-01,2000,False
24690,Roger Ebert,True,97123,Chicago Sun-Times,"The movie generates the best kind of suspense, because it's not about what will happen to people -- it's about what decisions they will reach.",2000-01-01,22496,Crimes and Misdemeanors,2000-01-01,2000,False
24691,Rita Kempley,True,97123,Washington Post,"A relative of Hannah and Her Sisters in its duplex structure and of The Purple Rose of Cairo in its bitter theme, Crimes is two movies in one, a blend of Allen's satiric and pretentious dramatic styles.",2000-01-01,22496,Crimes and Misdemeanors,2000-01-01,2000,False
24696,Eleanor Ringel Gillespie,True,163988,Atlanta Journal-Constitution,Scorsese has delivered a film that's both savage and sorrowing.,2000-01-01,16493,Bringing Out the Dead,2000-01-01,2000,False
24697,Tom Long,True,163988,Detroit News,Bringing Out the Dead is a screaming siren of a film!,2000-01-01,16493,Bringing Out the Dead,2000-01-01,2000,False
24698,James Berardinelli,True,163988,ReelViews,"Despite the lack of energy and the lethargic pace, there's something darkly compelling about Bringing Out the Dead.",2000-01-01,16493,Bringing Out the Dead,2000-01-01,2000,False
11236,Paul Attanasio,True,92007,Washington Post,Immensely pleasurable.,2000-01-01,12428,Star Trek IV: The Voyage Home,2000-01-01,2000,False
11235,Rita Kempley,True,92007,Washington Post,"A happy, heartfelt chapter that reunites the original cast with the original TV format, shying away from the cold and epic scale of the preceding movie adventures.",2000-01-01,12428,Star Trek IV: The Voyage Home,2000-01-01,2000,False
11234,James Berardinelli,True,92007,ReelViews,"An effective and enjoyable sample of entertainment -- not good science fiction, but a lightweight piece of comic fantasy utilizing characters so familiar that they feel like old friends.",2000-01-01,12428,Star Trek IV: The Voyage Home,2000-01-01,2000,False
11233,Roger Ebert,True,92007,Chicago Sun-Times,"This is easily the most absurd of the Star Trek stories -- and yet, oddly enough, it is also the best, the funniest and the most enjoyable in simple human terms.",2000-01-01,12428,Star Trek IV: The Voyage Home,2000-01-01,2000,False
24699,Stephanie Zacharek,False,163988,Salon.com,Bringing Out the Dead is curiously and disappointingly lethargic.,2000-01-01,16493,Bringing Out the Dead,2000-01-01,2000,False
11228,James Berardinelli,True,88170,ReelViews,"'Star Trek III' takes nearly forty minutes, much of which is filled with silly, mystical exposition about the current state of Spock's soul, before things start moving. The last twenty minutes are equally slow, but the stuff in between is quite enjoyable.",2000-01-01,12642,Star Trek III: The Search for Spock,2000-01-01,2000,False
24700,Jay Carr,False,163988,Boston Globe,Surprisingly lacking in primal impact.,2000-01-01,16493,Bringing Out the Dead,2000-01-01,2000,False
24701,Janet Maslin,True,163988,New York Times,"An intense, volatile film full of sorrow and wild, mordant humor.",2000-01-01,16493,Bringing Out the Dead,2000-01-01,2000,False
11221,James Berardinelli,True,84726,ReelViews,"Star Trek II added hefty doses of action, adventure, and suspense, injecting life into a concept that had been left moribund by its first big-screen feature.",2000-01-01,12084,Star Trek: The Wrath of Khan,2000-01-01,2000,False
24702,Richard T. Jameson,True,163988,Mr. Showbiz,"Bringing Out the Dead is stunning to look at; unfortunately, it's not terribly satisfying to watch.",2000-01-01,16493,Bringing Out the Dead,2000-01-01,2000,False
24703,David Ansen,True,163988,Newsweek,Anyone with a taste for high-risk filmmaking won't want to miss it.,2000-01-01,16493,Bringing Out the Dead,2000-01-01,2000,False
11214,Roger Ebert,False,98382,Chicago Sun-Times,"Of all of the Star Trek movies, this is the worst.",2000-01-01,12182,Star Trek V: The Final Frontier,2000-01-01,2000,False
11213,Rita Kempley,False,98382,Washington Post,A snoozola of astronomic proportions.,2000-01-01,12182,Star Trek V: The Final Frontier,2000-01-01,2000,False
11212,James Berardinelli,False,98382,ReelViews,"The whole point of the movie has something to do with the search for God and Eden, but the theme is presented in the most mundane fashion imaginable.",2000-01-01,12182,Star Trek V: The Final Frontier,2000-01-01,2000,False
24704,Michael Wilmington,True,163988,Chicago Tribune,A fiery masterpiece!,2000-01-01,16493,Bringing Out the Dead,2000-01-01,2000,False
24705,Kenneth Turan,False,163988,Los Angeles Times,This film dances on the edge of flat-lining just like the DOAs that are Frank's stock-in-trade.,2000-01-01,16493,Bringing Out the Dead,2000-01-01,2000,False
11205,James Berardinelli,False,102975,ReelViews,"For a movie that begins with such promise, The Undiscovered Country ends with a whimper.",2000-01-01,12300,Star Trek VI: The Undiscovered Country,2000-01-01,2000,False
24875,Susan Wloszczyna,True,166943,USA Today,To see Streep's prickly pear of an instructor blossom along with her struggling students is a rare joy.,2000-01-01,10485,Music of the Heart,2000-01-01,2000,False
24645,Michael Wilmington,True,166896,Chicago Tribune,At the center of this film's luminous vision is its perfectly cast star.,2000-01-01,9479,The Straight Story,2000-01-01,2000,False
24876,Roger Ebert,True,166943,At the Movies,"Most movies claiming to be based on fact pour on the melodrama, but this one basically just sticks to the real story, which has all the emotional wallop that's needed.",2000-01-01,10485,Music of the Heart,2000-01-01,2000,False
10565,Rita Kempley,True,100436,Washington Post,"It's a howl from the heart, a relentlessly involving movie that gives a kid every reason to believe that he or she can come of age.",2000-01-01,13910,Pump Up the Volume,2000-01-01,2000,False
10100,Robert Horton,True,41959,Film.com,"One of the glories of postwar cinema, and quite possibly one of the most sheerly enjoyable movies ever made.",2000-01-01,18250,The Third Man,2000-01-01,2000,False
10091,Desson Thomson,True,93191,Washington Post,a soaring vision that appeals to the senses and the spirit,2000-01-01,10221,Der Himmel über Berlin,2000-01-01,2000,False
10090,Rita Kempley,True,93191,Washington Post,"Underneath its melancholia and mind-boggling, even bothersome metaphysics, it's the simplest (well, almost) story ever told -- angel meets girl, angel gets girl.",2000-01-01,10221,Der Himmel über Berlin,2000-01-01,2000,False
10089,Roger Ebert,True,93191,Chicago Sun-Times,"The film evokes a mood of reverie, elegy and meditation.",2000-01-01,10221,Der Himmel über Berlin,2000-01-01,2000,False
10081,Michael Wilmington,True,86190,Chicago Tribune,"The film is a huge, rousing finale that resolves all plot twists, settles all accounts, reunites old friends and sweeps to a climax that all but blows the theater apart!",2000-01-01,11366,Star Wars: Episode VI - Return of the Jedi,2000-01-01,2000,False
10080,Sean Means,True,86190,Film.com,A mediocre Star Wars is better than no Star Wars at all.,2000-01-01,11366,Star Wars: Episode VI - Return of the Jedi,2000-01-01,2000,False
10079,David Ansen,False,86190,Newsweek,Jedi is downright repetitive!,2000-01-01,11366,Star Wars: Episode VI - Return of the Jedi,2000-01-01,2000,False
10078,Rex Reed,False,86190,New York Post,Let's not pretend we're watching art!,2000-01-01,11366,Star Wars: Episode VI - Return of the Jedi,2000-01-01,2000,False
10077,James Berardinelli,True,86190,ReelViews,The acting in Return of the Jedi is stronger than in the previous films.,2000-01-01,11366,Star Wars: Episode VI - Return of the Jedi,2000-01-01,2000,False
10076,Gene Siskel,True,86190,Chicago Tribune,Mark Hamill is particularly good in this film.,2000-01-01,11366,Star Wars: Episode VI - Return of the Jedi,2000-01-01,2000,False
10075,Gary Arnold,True,86190,Washington Post,Jedi couldn't end the Star Wars trilogy on a happier note!,2000-01-01,11366,Star Wars: Episode VI - Return of the Jedi,2000-01-01,2000,False
10074,Joe Baltake,True,86190,Sacramento Bee,Has twice as many visual effects than the original first film.,2000-01-01,11366,Star Wars: Episode VI - Return of the Jedi,2000-01-01,2000,False
10073,Roger Ebert,True,86190,Chicago Sun-Times,Marvelous!,2000-01-01,11366,Star Wars: Episode VI - Return of the Jedi,2000-01-01,2000,False
10101,Joe Baltake,True,41959,Sacramento Bee,A triumph of atmosphere and grown-up concerns.,2000-01-01,18250,The Third Man,2000-01-01,2000,False
10072,Vincent Canby,False,86190,New York Times,"The old Star Wars gang are back doing what they've done before, but this time with a certain evident boredom.",2000-01-01,11366,Star Wars: Episode VI - Return of the Jedi,2000-01-01,2000,False
25184,Dave Kehr,True,50371,Chicago Reader,"Andy Griffith, as a hick radio star modeled on Arthur Godfrey, delivers an astonishing, sinister performance in Elia Kazan's 1957 essay on media demagoguery.",2000-01-01,18654,A Face in the Crowd,2000-01-01,2000,False
10053,Roger Ebert,True,78788,Chicago Sun-Times,"The film has one of the most haunting endings in cinema, a poetic evocation of what Kurtz has discovered, and what we hope not to discover for ourselves.",2000-01-01,13092,Apocalypse Now,2000-01-01,2000,False
10031,Stanley Kauffmann,True,56172,The New Republic,Lawrence luxuriates in the tremendous.,2000-01-01,10348,Lawrence of Arabia,2000-01-01,2000,False
10030,Gary Kamiya,True,56172,Salon.com,"This is that rare film whose weaknesses are not only swallowed up by its vast, disturbing ambition, but somehow become part of its strengths.",2000-01-01,10348,Lawrence of Arabia,2000-01-01,2000,False
10029,Roger Ebert,True,56172,Chicago Sun-Times,"We remember the quiet, empty passages, the sun rising across the desert, the intricate lines traced by the wind in the sand.",2000-01-01,10348,Lawrence of Arabia,2000-01-01,2000,False
10028,Rita Kempley,True,56172,Washington Post,"The only thing that really dates it is the awful makeup, orangey pancake for Lawrence, a gray-green nose for Quinn and cordovan shoe polish for Guinness.",2000-01-01,10348,Lawrence of Arabia,2000-01-01,2000,False
10027,Desson Thomson,True,56172,Washington Post,Lawrence is too emotionally overpowering for critical reservations.,2000-01-01,10348,Lawrence of Arabia,2000-01-01,2000,False
25205,Roger Ebert,True,101669,Chicago Sun-Times,"I am a particular pushover for movies like this, movies that could go on the same list with Rebecca, Wuthering Heights or Vertigo.",2000-01-01,16768,Dead Again,2000-01-01,2000,False
9993,John Hartl,True,90605,Film.com,"""Absolutely smashing!""",2000-01-01,13240,Aliens,2000-01-01,2000,False
9992,Roger Ebert,True,90605,Chicago Sun-Times,"The ads for Aliens claim that this movie will frighten you as few movies have, and, for once, the ads don't lie.",2000-01-01,13240,Aliens,2000-01-01,2000,False
9991,James Berardinelli,True,90605,ReelViews,"When it comes to the logical marriage of action, adventure, and science fiction, few films are as effective or accomplished as Aliens.",2000-01-01,13240,Aliens,2000-01-01,2000,False
25206,James Berardinelli,True,101669,ReelViews,An achievement that rivals Hitchcock's best work and stands out as one of the most intriguing and memorable thrillers of the 1990s.,2000-01-01,16768,Dead Again,2000-01-01,2000,False
25207,Rita Kempley,False,101669,Washington Post,Overwrought and overly facile look at accounts payable in the afterlife.,2000-01-01,16768,Dead Again,2000-01-01,2000,False
10071,Bruce Westbrook,True,86190,Houston Chronicle,"Jedi may not be George Lucas's crown jewel, but his trilogy as a whole is as good as film fantasy gets.",2000-01-01,11366,Star Wars: Episode VI - Return of the Jedi,2000-01-01,2000,False
25224,,False,113416,USA Today,Less incredible than interminable.,2000-01-01,13007,The Incredibly True Adventure of Two Girls in Love,2000-01-01,2000,False
10102,Laura Miller,True,41959,Salon.com,"It seemed like the creation of a sensibility terribly old and wise, and most of all very European; it was the very essence of world-weary sophistication.",2000-01-01,18250,The Third Man,2000-01-01,2000,False
10104,Tom Keogh,True,41959,Film.com,"The complete effect of The Third Man is of superficial mysteries wrapped around deeper mysteries of the human heart, all immersed in a desperate universe suspended by the silent witnessing of a thousand eyes.",2000-01-01,18250,The Third Man,2000-01-01,2000,False
25101,Roger Ebert,True,97240,Chicago Sun-Times,"The movie stars Matt Dillon, in one of the great recent American movie performances.",2000-01-01,13483,Drugstore Cowboy,2000-01-01,2000,False
10198,James Berardinelli,True,71562,ReelViews,Few sequels have expanded upon the original with the faithfulness and detail of this one.,2000-01-01,12926,The Godfather: Part II,2000-01-01,2000,False
25102,Hal Hinson,True,97240,Washington Post,The performers make their affectlessness expressive.,2000-01-01,13483,Drugstore Cowboy,2000-01-01,2000,False
25103,Desson Thomson,True,97240,Washington Post,"Ultimately it's Dillon who has the biggest score; he makes this stark trip a heady, hopeful one.",2000-01-01,13483,Drugstore Cowboy,2000-01-01,2000,False
25111,Desson Thomson,True,106856,Washington Post,"Douglas's intentionally robotic -- and intense -- performance holds its own. He's scary, normal and funny all at once...",2000-01-01,13534,Falling Down,2000-01-01,2000,False
25112,Hal Hinson,False,106856,Washington Post,"Unfortunately, it continues on through an uninspired series of cartoonishly brutal social insults, each one growing more lethal than the next, thereby justifying an increasingly lethal response.",2000-01-01,13534,Falling Down,2000-01-01,2000,False
25113,Roger Ebert,True,106856,Chicago Sun-Times,"The film ... is actually about a great sadness which turns into madness, and which can afflict anyone who is told, after many years of hard work, that he is unnecessary and irrelevant.",2000-01-01,13534,Falling Down,2000-01-01,2000,False
10184,Bosley Crowther,True,54215,New York Times,[Hitchcock's] denouement falls quite flat for us. But the acting is fair.,2000-01-01,12879,Psycho,2000-01-01,2000,False
10183,James Berardinelli,True,54215,ReelViews,"With the exception of Halloween, no latter-day horror/thriller has been capable of generating as many goosebumps.",2000-01-01,12879,Psycho,2000-01-01,2000,False
10182,Paine Knickerbocker,True,54215,San Francisco Chronicle,"[Hitchcock] has very shrewdly interwoven crime, sex and suspense, blended the real and the unreal in fascinating proportions and punctuated his film with several quick, grisly and unnerving surprises.",2000-01-01,12879,Psycho,2000-01-01,2000,False
10181,Roger Ebert,True,54215,Chicago Sun-Times,"What makes Psycho immortal, when so many films are already half-forgotten as we leave the theater, is that it connects directly with our fears.",2000-01-01,12879,Psycho,2000-01-01,2000,False
10180,Mary Elizabeth Williams,True,54215,Salon.com,"All those who still get a chill every time they step into a hotel shower, say aye. That, you see, is the power of Psycho.",2000-01-01,12879,Psycho,2000-01-01,2000,False
25114,James Berardinelli,True,106856,ReelViews,"Although it takes a number of wrong turns, Falling Down still has the power to disturb.",2000-01-01,13534,Falling Down,2000-01-01,2000,False
10103,J. Hoberman,True,41959,Village Voice,"However hoked-up and self-regarding, The Third Man ... remains an indelible experience.",2000-01-01,18250,The Third Man,2000-01-01,2000,False
10173,Hal Hinson,True,97202,Washington Post,This is a rush of a movie.,2000-01-01,17925,Dip huet seung hung,2000-01-01,2000,False
10167,John Hartl,True,89881,Film.com,It has become a cliche to call Kurosawa the world's greatest living filmmaker.,2000-01-01,15203,Ran,2000-01-01,2000,False
10166,Bob Graham,True,89881,San Francisco Chronicle,"List any element -- from concept through cinematography, battle action, editing, acting, sound, music, costumes or whatever, right down to makeup -- and Kurosawa's commitment is total.",2000-01-01,15203,Ran,2000-01-01,2000,False
10151,Mark Holcomb,False,95250,Village Voice,Besson is no master storyteller.,2000-01-01,13132,Le grand bleu,2000-01-01,2000,False
10150,Steven Rosen,False,95250,Denver Post,What he and his writers have cooked up defies our patience.,2000-01-01,13132,Le grand bleu,2000-01-01,2000,False
25165,Roger Ebert,False,94012,Chicago Sun-Times,"How do you review a movie like this, anyway? I guess by saying whether you laughed or not. I did laugh, but not enough to recommend the film.",2000-01-01,10223,Spaceballs,2000-01-01,2000,False
25166,Hal Hinson,False,94012,Washington Post,"The jokes in the films are all pretty much in the same vein -- you might call it borsch-belt postmodern -- and they're all on about the same level, too.",2000-01-01,10223,Spaceballs,2000-01-01,2000,False
10135,James Berardinelli,True,78748,ReelViews,The way [Ridley] Scott meticulously raises the sense of menace and tension is worthy of Hitchcock.,2000-01-01,13492,Alien,2000-01-01,2000,False
10117,Desson Thomson,True,99685,Washington Post,"The performances by everyone are stunning, standout.",2000-01-01,12924,Goodfellas,2000-01-01,2000,False
10116,Roger Ebert,True,99685,Chicago Sun-Times,No finer film has ever been made about organized crime.,2000-01-01,12924,Goodfellas,2000-01-01,2000,False
10115,John Hartl,True,99685,Film.com,"GoodFellas is an appalling masterpiece of the kind that, along with New York's current well-publicized troubles, is likely to give pause to anyone planning to make a trip to the city.",2000-01-01,12924,Goodfellas,2000-01-01,2000,False
10114,James Berardinelli,True,99685,ReelViews,It is not a coincidence that Scorsese's three masterpieces all star Robert De Niro.,2000-01-01,12924,Goodfellas,2000-01-01,2000,False
10106,Roger Ebert,True,41959,Chicago Sun-Times,"Of all the movies I have seen, this one most completely embodies the romance of going to the movies.",2000-01-01,18250,The Third Man,2000-01-01,2000,False
10105,Jonathan Rosenbaum,True,41959,Chicago Reader,Wonderful entertainment.,2000-01-01,18250,The Third Man,2000-01-01,2000,False
10168,Roger Ebert,True,89881,Chicago Sun-Times,Nobody can film an epic battle scene like Kurosawa.,2000-01-01,15203,Ran,2000-01-01,2000,False
25096,Roger Ebert,True,89885,Chicago Sun-Times,"We have been assaulted by a lurid imagination, amazed by unspeakable sights, blind-sided by the movie's curiously dry sense of humor. I guess that's our money's worth.",2000-01-01,14998,Re-Animator,2000-01-01,2000,False
25227,Roger Ebert,True,113416,Chicago Sun-Times,"Warm-hearted, funny, and involving.",2000-01-01,13007,The Incredibly True Adventure of Two Girls in Love,2000-01-01,2000,False
9978,Roger Ebert,False,88846,Chicago Sun-Times,Very hard to follow.,2000-01-01,13466,Brazil,2000-01-01,2000,False
9878,Desson Thomson,True,98724,Washington Post,"Wwriter/director/editor Soderbergh has composed a wry, highly watchable piece that comes across as a great first effort by a film-school graduate.",2000-01-01,13618,"Sex, Lies, and Videotape",2000-01-01,2000,False
9877,Rita Kempley,True,98724,Washington Post,"Inspired chitchat, a barefaced Louisiana gabfest written and directed by Steven Soderbergh, a 26-year-old Wunderkind preoccupied with l'amour.",2000-01-01,13618,"Sex, Lies, and Videotape",2000-01-01,2000,False
9870,Hal Hinson,True,97937,Washington Post,Jim Sheridan's My Left Foot must be the most passionately empathetic film about a physical affliction ever made.,2000-01-01,16866,My Left Foot: The Story of Christy Brown,2000-01-01,2000,False
9869,Desson Thomson,True,97937,Washington Post,"Not only does Day-Lewis master the physical aspects of the role, the minute-to-minute struggle of almost complete paralysis, he lives the painful genesis of an artistic character.",2000-01-01,16866,My Left Foot: The Story of Christy Brown,2000-01-01,2000,False
9868,Roger Ebert,True,97937,Chicago Sun-Times,"My Left Foot is a great film for many reasons, but the most important is that it gives us such a complete picture of this man's life.",2000-01-01,16866,My Left Foot: The Story of Christy Brown,2000-01-01,2000,False
25263,Robert Horton,True,149691,Film.com,"Portman's terrific performance in Anywhere But Here is replete with razor's-edge emotions, a watchful stillness, and an exact physical sense of how a teenager struggles to fit into her own body.",2000-01-01,12635,Anywhere But Here,2000-01-01,2000,False
25264,Kevin Maynard,True,149691,Mr. Showbiz,"It's a relief to see Portman giving a realistic, moving performance.",2000-01-01,12635,Anywhere But Here,2000-01-01,2000,False
9857,Mike Clark,True,116209,USA Today,An aerobic workout for the tear ducts.,2000-01-01,14840,The English Patient,2000-01-01,2000,False
9856,James Berardinelli,True,116209,ReelViews,"This is one of the year's most unabashed and powerful love stories, using flawless performances, intelligent dialogue, crisp camera work, and loaded glances to attain a level of eroticism and emotional connection that many similar films miss.",2000-01-01,14840,The English Patient,2000-01-01,2000,False
9855,Roger Ebert,True,116209,Chicago Sun-Times,"This poetic, evocative film version of the famous novel by Michael Ondaatje circles down through layers of mystery until all of the puzzles in the story have been solved, and only the great wound of a doomed love remains.",2000-01-01,14840,The English Patient,2000-01-01,2000,False
9854,Desson Thomson,True,116209,Washington Post,This is a movie to lose yourself in.,2000-01-01,14840,The English Patient,2000-01-01,2000,False
9853,Gary Kamiya,True,116209,Salon.com,"The English Patient, the superb new film by Anthony Minghella, is that rarest of things: a film based on a great contemporary novel.",2000-01-01,14840,The English Patient,2000-01-01,2000,False
9852,Janet Maslin,True,116209,New York Times,A stunning feat of literary adaptation as well as a purely cinematic triumph.,2000-01-01,14840,The English Patient,2000-01-01,2000,False
9879,Roger Ebert,True,98724,Chicago Sun-Times,"It is never boring, and there are moments when it reminds us of how sexy the movies used to be, back in the days when speech was an erogenous zone.",2000-01-01,13618,"Sex, Lies, and Videotape",2000-01-01,2000,False
25265,Peter Rainer,False,149691,New York Magazine,Adele and Ann don't really seem like mother and daughter; their conflicts are more a matter of theatrical convenience than something born in the blood.,2000-01-01,12635,Anywhere But Here,2000-01-01,2000,False
25267,Roger Ebert,True,149691,At the Movies,"Sarandon bravely makes Adele into a person who is borderline insufferable. This isn't Auntie Mame, but someone with deep conflicts and inappropriate ways of addressing them. And Ann is complex, too.",2000-01-01,12635,Anywhere But Here,2000-01-01,2000,False
25268,Eleanor Ringel Gillespie,True,149691,Atlanta Journal-Constitution,Both Susan Sarandon and Natalie Portman deserve to make the short list in February for breathing fresh air into an all-too-familiar mother-daughter act.,2000-01-01,12635,Anywhere But Here,2000-01-01,2000,False
25269,Michael Wilmington,True,149691,Chicago Tribune,This Wayne Wang-directed movie hands Sarandon one of the richest comic-dramatic opportunities of her career -- while also confirming Portman as one of her own generation's best and brightest.,2000-01-01,12635,Anywhere But Here,2000-01-01,2000,False
9828,Roger Ebert,True,99703,Chicago Sun-Times,"This is a movie of plot, not episode. It's not just a series of things that happen to the characters, but a web, a maze of consequences.",2000-01-01,16215,The Grifters,2000-01-01,2000,False
9827,Desson Thomson,True,99703,Washington Post,This is one human board game that's absorbing to watch.,2000-01-01,16215,The Grifters,2000-01-01,2000,False
9826,Hal Hinson,True,99703,Washington Post,"It seduces you into believing it's merely a cheeky trifle, and then, when you least expect it, lowers the boom.",2000-01-01,16215,The Grifters,2000-01-01,2000,False
25270,Jeff Millar,True,149691,Houston Chronicle,"Anywhere But Here brought me to tears often, but it was not that often when something sad happened.",2000-01-01,12635,Anywhere But Here,2000-01-01,2000,False
25271,Mary Elizabeth Williams,True,149691,Salon.com,"Sarandon is good, but Portman is astonishing.",2000-01-01,12635,Anywhere But Here,2000-01-01,2000,False
25273,Kenneth Turan,False,149691,Los Angeles Times,"Some characters breathe better on the page, and that is the case here.",2000-01-01,12635,Anywhere But Here,2000-01-01,2000,False
9819,Bosley Crowther,False,50825,New York Times,"As for the picture's significance, it comes to an inconclusive point.",2000-01-01,17114,Paths of Glory,2000-01-01,2000,False
25274,Janet Maslin,True,149691,New York Times,"Mr. Wang once again works splendidly with actresses, and boy, does he have a lot to work with this time.",2000-01-01,12635,Anywhere But Here,2000-01-01,2000,False
25275,Lou Lumenick,True,149691,New York Post,"Anywhere But Here is a wonderful showcase for Natalie Portman, who gives an Oscar-caliber performance.",2000-01-01,12635,Anywhere But Here,2000-01-01,2000,False
9807,Desson Thomson,True,101811,Washington Post,"It would seem from a spate of films lately that the English can only find their warmer, truer selves abroad -- usually in Italy. Enchanted April takes this familiar path, but traipses along with charm and glory, as if for the very first time.",2000-01-01,535718647,Enchanted April,2000-01-01,2000,False
25266,James Berardinelli,True,149691,ReelViews,"Wang affirms that he is one of a few male directors capable of bringing a film to the screen that focuses on credible, intelligent female characters.",2000-01-01,12635,Anywhere But Here,2000-01-01,2000,False
9979,Joe Baltake,True,88846,Sacramento Bee,"Everything that Terry Gilliam does seems to come in a peak. His movies tend to be a series of exhilarating, madding high points, and his method of dazzle can be exhausting and exasperating. But you never want him to stop.",2000-01-01,13466,Brazil,2000-01-01,2000,False
9900,Rita Kempley,True,101026,Washington Post,"A writer-director driven by his passion, Almodovar allows his movies to moan and sweat and writhe. Sex looks like sex, not pornographic but messy and warm. The curtains do not billow, the sheets burn.",2000-01-01,178781158,Átame!,2000-01-01,2000,False
25255,Lou Lumenick,False,172726,New York Post,The dialogue is ridiculous and condescending.,2000-01-01,16949,Light It Up,2000-01-01,2000,False
9977,Michael Atkinson,True,88846,Village Voice,"Gilliam understood that all futuristic films end up quaintly evoking the naive past in which they were made, and turned the principle into a coherent comic aesthetic.",2000-01-01,13466,Brazil,2000-01-01,2000,False
9976,John Hartl,True,88846,Film.com,"For all its occasional long-windedness and visual dazzle, Brazil may be the Strangelove of the 1980s.",2000-01-01,13466,Brazil,2000-01-01,2000,False
9969,Roger Ebert,True,82971,Chicago Sun-Times,The movie is just plain fun.,2000-01-01,23529,Raiders of the Lost Ark,2000-01-01,2000,False
25235,Dave Kehr,False,61789,Chicago Reader,"Lester's op-pop style, jump cutting from incident to incident, seems too inherently cheerful for the material, which features fountains of stage blood.",2000-01-01,173520258,How I Won the War,2000-01-01,2000,False
9960,Rita Kempley,True,93779,Washington Post,"It's a lively, fun-loving, but nevertheless epic look at the nature of true love.",2000-01-01,12686,The Princess Bride,2000-01-01,2000,False
9959,Desson Thomson,True,93779,Washington Post,Bride achieves much more than most film comedies.,2000-01-01,12686,The Princess Bride,2000-01-01,2000,False
9958,Roger Ebert,True,93779,Chicago Sun-Times,It is filled with good-hearted fun.,2000-01-01,12686,The Princess Bride,2000-01-01,2000,False
25242,Jay Carr,True,172726,Boston Globe,Vanessa Williams adds marquee value as a police negotiator.,2000-01-01,16949,Light It Up,2000-01-01,2000,False
25244,Mick LaSalle,True,172726,San Francisco Chronicle,A deluge of movies is set to be released in the next three weeks. One that should not be lost in the flood is Light It Up.,2000-01-01,16949,Light It Up,2000-01-01,2000,False
25246,Rita Kempley,True,172726,Washington Post,Light It Up benefits from affecting performances from a gifted cast headed by R&B heartthrob Usher Raymond.,2000-01-01,16949,Light It Up,2000-01-01,2000,False
25247,Roger Ebert,False,172726,Chicago Sun-Times,The problem is the movie is too predictable--so predictable that it keeps it from truly generating suspense.,2000-01-01,16949,Light It Up,2000-01-01,2000,False
25248,Jeff Millar,True,172726,Houston Chronicle,"Strong acting, tense plot.",2000-01-01,16949,Light It Up,2000-01-01,2000,False
9946,John Hartl,True,80684,Film.com,"For many Star Wars fans, this second installment is the best of the George Lucas trilogy: a dark, ultimately melancholy, even philosophical episode that has no triumphant happy ending.",2000-01-01,11470,Star Wars: Episode V - The Empire Strikes Back,2000-01-01,2000,False
9901,Roger Ebert,False,101026,Chicago Sun-Times,Almodovar's polarities are so perfectly lined up in opposition to my own that it is quite possible for one of his movies to shoot right through my brain without striking a single cell.,2000-01-01,178781158,Átame!,2000-01-01,2000,False
9945,Joe Baltake,True,80684,Sacramento Bee,Genuinely powerful!,2000-01-01,11470,Star Wars: Episode V - The Empire Strikes Back,2000-01-01,2000,False
9943,Bruce Westbrook,True,80684,Houston Chronicle,"The most classic in its style, design and narrative.",2000-01-01,11470,Star Wars: Episode V - The Empire Strikes Back,2000-01-01,2000,False
9942,Sean Means,True,80684,Film.com,Star Wars made my eyes pop out when I first saw it in 1977!,2000-01-01,11470,Star Wars: Episode V - The Empire Strikes Back,2000-01-01,2000,False
9941,Gary Arnold,True,80684,Washington Post,A dramatic illustration of the continued technical brilliance and leadership of the Lucas production team.,2000-01-01,11470,Star Wars: Episode V - The Empire Strikes Back,2000-01-01,2000,False
9940,Vincent Canby,False,80684,New York Times,I found myself glancing at my watch almost as often as I did when I was sitting through a truly terrible movie called The Island.,2000-01-01,11470,Star Wars: Episode V - The Empire Strikes Back,2000-01-01,2000,False
9939,Susan Stark,True,80684,Detroit News,"In the glory days of science fiction, critics wrote about the 'sense of wonder.' That's what The Empire Strikes Back creates in us",2000-01-01,11470,Star Wars: Episode V - The Empire Strikes Back,2000-01-01,2000,False
9938,James Berardinelli,True,80684,ReelViews,A superior motion picture!,2000-01-01,11470,Star Wars: Episode V - The Empire Strikes Back,2000-01-01,2000,False
9937,Peter Stack,True,80684,San Francisco Chronicle,The balance between action and mysticism in Empire provides fascinating energy.,2000-01-01,11470,Star Wars: Episode V - The Empire Strikes Back,2000-01-01,2000,False
9936,David Ansen,True,80684,Newsweek,"The Empire Strikes Back is a technological triumph, a cornucopia of intergalactic tchotchkes.",2000-01-01,11470,Star Wars: Episode V - The Empire Strikes Back,2000-01-01,2000,False
9935,Roger Ebert,True,80684,Chicago Sun-Times,"It is a visual extravaganza from beginning to end, one of the most visionary and inventive of all films.",2000-01-01,11470,Star Wars: Episode V - The Empire Strikes Back,2000-01-01,2000,False
25251,James Berardinelli,True,172726,ReelViews,Light It Up challenges the bureaucratic structure that condemns many children to an educational purgatory.,2000-01-01,16949,Light It Up,2000-01-01,2000,False
25252,Tom Keogh,True,172726,Film.com,"Nelson, Whitaker and their talented, young co-stars give this film most of whatever juice it has.",2000-01-01,16949,Light It Up,2000-01-01,2000,False
